Category,LULC,Coastal,Surveyor,Date,Notes,LULC_code,geometry
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45224643214013 -18.150526570323258 0)
,Forest,,Kijiana ,2026-09-09,,2.0,POINT Z (178.45246517115487 -18.1502658004421 0)
,Forest,,Kijiana ,2026-09-09,,2.0,POINT Z (178.45246517115487 -18.1502658004421 0)
,Forest,,Kijiana ,2026-09-09,,2.0,POINT Z (178.45246517115487 -18.1502658004421 0)
,Grassland,,Kijiana ,2026-09-09,,3.0,POINT Z (178.45243826433713 -18.150046191764826 0)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45237053 -18.14928243 65.0023193359375)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45254259348505 -18.14919562150199 0)
,Grassland,,Kijiana ,2026-09-09,,3.0,POINT Z (178.45254259348505 -18.14919562150199 0)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45293396295187 -18.149159560249185 0)
,Forest,,Kijiana ,2026-09-09,,2.0,POINT Z (178.45293396295187 -18.149159560249185 0)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.4535635274571 -18.14920429196382 0)
,Forest,,Kijiana ,2026-09-09,,2.0,POINT Z (178.45357730443354 -18.149271224714102 0)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45357730443354 -18.149271224714102 0)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45408246085887 -18.149197543874728 0)
,Grassland,,Kijiana ,2026-09-09,,3.0,POINT Z (178.45408246085887 -18.149197543874728 0)
,Grassland,,Kijiana ,2026-09-09,,3.0,POINT Z (178.453913 -18.14998428 66.05816650390625)
,Grassland,,Kijiana ,2026-09-09,,3.0,POINT Z (178.45418936999997 -18.15000127 69.4603271484375)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45463571922835 -18.149933336642533 0)
,Water,,Kijiana ,2026-09-09,,6.0,POINT Z (178.45463571922835 -18.149933336642533 0)
,Water,,Kijiana ,2026-09-09,,6.0,POINT Z (178.45425233 -18.15030849 62.4913330078125)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45386407 -18.15052818 66.62957763671875)
,Grassland,,,,,3.0,POINT Z (178.45367392884202 -18.150067536559103 0)
,,,Kushal,,,,POINT Z (178.4527212199955 -18.149269449153312 0)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45369704709418 -18.150068793859788 8.60065969824791)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45386212312383 -18.150098555423572 8.11339672934264)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45393075589666 -18.150161118520305 7.278283989056945)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45399692315445 -18.150214741088398 6.668681685812771)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45406523921866 -18.150275459516052 6.621863161213696)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45406399885513 -18.150297397589462 6.116976029239595)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45405757982167 -18.15040970258129 11.25299072265625)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45391378754599 -18.150350279189674 9.514831404201686)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45373111541684 -18.15031179480232 7.402475195005536)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.4537539123862 -18.150177388453397 7.918911446817219)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.4538113606893 -18.1500097643753 13.99237060546875)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45381300716332 -18.149847393307713 8.179323663935065)
,Grassland,,Kushal,2026-09-09,,3.0,POINT Z (178.45404895309218 -18.149823023393672 7.047231649979949)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.4539220864298 -18.149308080023644 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45394953725096 -18.149435244783053 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.4543155443218 -18.150854464391454 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45424201295964 -18.150768640140196 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45412785101453 -18.150590748895517 0)
,,Sand,Kushal ,2026-09-09,,,POINT Z (178.45418798604686 -18.15038040666472 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45441486086278 -18.150233205870414 0)
,,Sand,Kushal,2026-09-09,,,POINT Z (178.45459189116121 -18.150143368745585 0)
,Forest,Sand,Kushal,2026-09-09,,2.0,POINT Z (178.4548644719809 -18.150058466689032 0)
,,Deeps,Kushal,2026-09-09,,,POINT Z (178.45442397830496 -18.150663830661 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45585208017945 -18.150600699110896 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.456207270095 -18.150974767608005 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.4565539570418 -18.151344092234414 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45687437435782 -18.151654661625937 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45725359320872 -18.152000117125414 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.4579253361484 -18.152606783182634 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45848159001565 -18.15337009073403 0)
,,Rock,Kushal,2026-09-09,,,POINT Z (178.45844818201462 -18.15445121367601 0)
,,,,,,,POINT Z (178.45798138654928 -18.15511337906921 0)
,,Deeps,Kushal,2026-09-09,,,POINT Z (178.45499668331513 -18.150683651452347 0)
,,Deeps,Kushal,2026-09-09,,,POINT Z (178.45477513452258 -18.150946177719582 0)
,,Deeps,Kushal,2026-09-09,,,POINT Z (178.45451369141665 -18.15111614692102 0)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.4540261697234 -18.150864419018788 4.870349422097206)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.454064203454 -18.1507180990264 0)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.4539390023744 -18.150800071935844 4.309371713548899)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.45388384550787 -18.150695008230013 0)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.45373908292802 -18.150697799995807 4.456912057474256)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.45370083134108 -18.150590532737425 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45342065010792 -18.150415732411133 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.453086493703 -18.150409958342223 7.29876708984375)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45289132687637 -18.15036073748485 5.803624066524208)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45310584428282 -18.15018045665555 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45247019693747 -18.149556172874647 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45265652714497 -18.149482561217084 0)
,Forest,,Kushal ,2026-09-09,,2.0,POINT Z (178.4527168554357 -18.14966076520232 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45262486124747 -18.14976760831434 0)
,Settlement,,Kushal,2026-09-09,,5.0,POINT Z (178.45277818489447 -18.14976868753736 0)
,Forest,,Kushal ,2026-09-09,,2.0,POINT Z (178.4523485997173 -18.149770722633903 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.45281282219435 -18.149591309295563 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.4541591061459 -18.149956347059536 0)
,Forest,,Kushal ,2026-09-09,,2.0,POINT Z (178.4526101152942 -18.14961450681496 0)
,Forest,,Kushal,2026-09-09,,2.0,POINT Z (178.4525109236426 -18.1496831966677 0)
,Settlement,,Tushaal ,2026-09-09,,5.0,POINT Z (178.45399166666664 -18.150776666666665 51.6)
,Settlement,,Tushaal,2026-09-09,,5.0,POINT Z (178.45389 -18.150691666666667 53.8)
,Settlement,,Tushaal ,2026-09-09,,5.0,POINT Z (178.45370666666662 -18.150578333333332 57.8)
,Settlement,,Tushaal ,2026-09-09,,5.0,POINT Z (178.45362333333333 -18.150505 54.5)
,Forest,,Tushaal,2026-09-09,,2.0,POINT Z (178.45317333333332 -18.1504 58.4)
,Grassland,,Tushal ,2026-09-09,,3.0,POINT Z (178.45379833333334 -18.15006 57.6)
,Grassland,,Tushaal,,,3.0,POINT Z (178.45386666666667 -18.150015 54.7)
,Grassland,,Tushal,2026-09-09,,3.0,POINT Z (178.45398333333335 -18.15000166666666 53.5)
,Grassland,,Tushaal,2026-09-09,,3.0,POINT Z (178.45403166666662 -18.150086666666663 52.8)
,Grassland,,Tushal,2026-09-09,,3.0,POINT Z (178.45417166666664 -18.150261666666665 50.9)
,Grassland,,Tushaal,2026-09-09,,3.0,POINT Z (178.4540433333333 -18.15047166666666 48.1)
,Grassland,,Tushal,2026-09-09,,3.0,POINT Z (178.4540433333333 -18.15060833333333 51.5)
,Grassland,,Tushaal,2026-09-09,,3.0,POINT Z (178.4538466666667 -18.150413333333333 58.4)
,Grassland,,Tushal,2026-09-09,,3.0,POINT Z (178.45371666666665 -18.15024833333333 54.1)
,Grassland,,Tushaal,2026-09-09,,3.0,POINT Z (178.45369333333332 -18.150065 50.8)
,Grassland,,Tushal,2026-09-09,,3.0,POINT Z (178.45402655027692 -18.149742184914672 0)
,Grassland,,Tushaal,2026-09-09,,3.0,POINT Z (178.45391833333335 -18.149911666666664 51.6)
,Forest,,Tushaal ,2026-09-09,,2.0,POINT Z (178.45401417920704 -18.149300075269526 0)
,Forest,,Tushaal,2026-09-09,,2.0,POINT Z (178.45353079299747 -18.149417382447307 0)
,,Sand,Tushaal ,2026-09-09,,,POINT Z (178.4545294154064 -18.15014472631044 0)
,,Sand,Tushal,2026-09-09,,,POINT Z (178.45448786731154 -18.150322981224345 0)
,,Sand,Tushal,2026-09-09,,,POINT Z (178.4543214509184 -18.1504289418962 0)
,,Sand,Tushal,2026-09-09,,,POINT Z (178.45474237520898 -18.150239497106824 0)
,,Deeps,Tushal,2026-09-09,,,POINT Z (178.45877369983916 -18.156220346056962 0)
,,Rock,Tushaal,2026-09-09,,,POINT Z (178.4569306273229 -18.156292099661144 0)
,Settlement,,Tushaal,2026-09-09,,5.0,POINT Z (178.45401091034364 -18.15083330059416 0)
,,,Tushaal ,,,,POINT Z (178.452635 -18.149305 54)
,Settlement,,Tushaal,2026-09-09,,5.0,POINT Z (178.452680218738 -18.149349273978718 0)
,Grassland,,Tushaal,2026-09-09,,3.0,POINT Z (178.45374 -18.15007166666667 55)
,Forest,,Tushaal,2026-09-09,,2.0,POINT Z (178.45296 -18.15029666666667 63.3)
,Forest,,Tushaal ,2026-09-09,,2.0,POINT Z (178.45305333333332 -18.150196666666666 60.8)
,Forest,,Tushaal,2026-09-09,,2.0,POINT Z (178.45262166666666 -18.14946 57.7)
,Forest,,Tushaal ,2026-09-09,,2.0,POINT Z (178.45282572857286 -18.14958844727086 0)
,Forest,,Tushaal ,2026-09-09,,2.0,POINT Z (178.45305933582998 -18.149876488593673 0)
,Forest,,Tushaal ,2026-09-09,,2.0,POINT Z (178.45277963014308 -18.149902360249975 0)
,Forest,,Tushaal ,2026-09-09,,2.0,POINT Z (178.45335517810852 -18.149235552977288 0)
,Grassland,,Tushaal ,2026-09-09,,3.0,POINT Z (178.45418406871704 -18.1500386447764 0)
Roads,Settlement,Rubble,Samansen,2026-09-09,,5.0,POINT Z (178.45251718086027 -18.149203078920998 0)
Roads,Settlement,Rubble,Samansen ,2026-09-09,On footpath infront of building ,5.0,POINT Z (178.45232332125306 -18.149393945932385 59)
Other,Grassland,Sediment,Samansen ,2026-09-09,Used to be a computer lab site,3.0,POINT Z (178.4524225629866 -18.14959896728396 66)
Roads,Settlement,Rubble,Samansen ,2026-09-09,Road,5.0,POINT Z (178.45276596955955 -18.149460582062602 64)
Roads,Settlement,Rubble,Samansen ,2026-09-09,,5.0,POINT Z (178.45292539335784 -18.14964079298079 63)
Flood Drainage channels,Settlement,Sediment,Samansen ,2026-09-09,,5.0,POINT Z (178.45287141390142 -18.14987481571734 65)
Roads,Settlement,Rubble,Samansen ,2026-09-09,,5.0,POINT Z (178.45313938334584 -18.149884161539376 65)
Roads,Settlement,Rubble,Samansen ,2026-09-09,,5.0,POINT Z (178.45324097201225 -18.149981517344713 67)
Dumpsite,Settlement,Sediment,Samansen ,,Recycling plastics site,5.0,POINT Z (178.45334834419188 -18.150125350803137 71)
Other,Grassland,,Samansen ,2026-09-09,Lower campus lawn,3.0,POINT Z (178.45390641130504 -18.150035035796456 68)
Other,Grassland,,Samansen ,2026-09-09,Lower campus lawn,3.0,POINT Z (178.4540999494493 -18.15003071911633 66)
Other,Grassland,,Samansen ,2026-09-09,Lower campus lawn,3.0,POINT Z (178.45427085645494 -18.150060852058232 65)
Other,Grassland,,Samansen ,2026-09-09,Lower campus lawn,3.0,POINT Z (178.45449800603092 -18.150065378285944 67)
Slope,Water,Sand,Samansen ,2026-09-09,Coastline,6.0,POINT Z (178.45481584779915 -18.150097355246544 66)
Other,Water,Rock,Samansen ,2026-09-09,Coastline,6.0,POINT Z (178.454242022708 -18.150304346345365 63)
Other,Settlement,,Samansen ,2026-09-09,Building,5.0,POINT Z (178.4540375880897 -18.150635431520637 67)
Other,Settlement,Rubble,Samansen ,2026-09-09,FZ4,5.0,POINT Z (178.45424319617447 -18.15092276316136 67)
,,,,,,,POINT Z (178.45396008077353 -18.150768225163038 0)
Roads,Settlement,Rubble,GraceH,2026-09-09,Next to mango tree,5.0,POINT Z (178.4524465354207 -18.149216476404707 0)
Other,Grassland,,GraceH,2026-09-09,Near laboratory,3.0,POINT Z (178.4523616666666 -18.149003333333333 64.5)
Other,Grassland,,GraceH,2026-09-09,Near GSlab,3.0,POINT Z (178.452585 -18.149215 59.7)
Other,Settlement,,GraceH,2026-09-09,Near carpark,5.0,POINT Z (178.452765 -18.14952 59.7)
Roads,Settlement,Rock,GraceH,2026-09-09,Near footpath,5.0,POINT Z (178.45292890791063 -18.149661093911664 0)
Roads,Settlement,Rock,GraceH,2026-09-09,Near office,5.0,POINT Z (178.45319166666667 -18.149831666666667 57.5)
Roads,Settlement,Rock,GraceH,2026-09-09,Near lab,5.0,POINT Z (178.45341833333333 -18.150033333333333 57.2)
Other,Settlement,Rock,GraceH,2026-09-09,Near restuarant,5.0,POINT Z (178.45366 -18.150241666666656 60.4)
Other,Settlement,,GraceH,2026-09-09,Lower campus grounds,5.0,POINT Z (178.45385333333326 -18.15023 62.3)
Other,Grassland,,GraceH,2026-09-09,Lower grounds,3.0,POINT Z (178.454485 -18.150138333333334 60.1)
Other,Water,Rock,GraceH,2026-09-09,Between beach and grounds,6.0,POINT Z (178.454165 -18.15038 59.4)
Other,Settlement,Rock,GraceH,2026-09-09,Near building,5.0,POINT Z (178.4541583333333 -18.15076333333333 62.3)
Roads,Settlement,Rubble,Taraivini,2026-09-09,Road is next to mangoe tree,5.0,POINT Z (178.45244282130153 -18.149233679002243 0)
Rubbish collection points,Settlement,Rock,Taraivini,2026-09-09,Behind the container,5.0,POINT Z (178.45204499145314 -18.149434262712898 0)
Other,Grassland,Rock,Taraivini,2026-09-09,This point is behind a breadfruit tree,3.0,POINT Z (178.45238978564254 -18.149633392461546 0)
Other,Grassland,Rock, Taraivini,2026-09-09,This point is in the back of Sunderland Lab,3.0,POINT Z (178.45289175819008 -18.149391235669892 0)
Roads,Settlement,Rubble,Taraivini,2026-09-09,Point is in front of lecture theater ,5.0,POINT Z (178.45319265543304 -18.149907470281093 0)
Other,Grassland,,Taraivini,2026-09-09,Point is behind the bure,3.0,POINT Z (178.4537882299844 -18.15013746860124 0)
Other,Grassland,,Taraivini,2026-09-09,Point is on the playground ,3.0,POINT Z (178.45401586085794 -18.15022019623708 0)
Other,Grassland,,Taraivini ,2026-09-09,Point is in the playground ,3.0,POINT Z (178.45431982046162 -18.15011718092994 0)
Other,Grassland,,Taraivini,2026-09-09,Point is in the playground ,3.0,POINT Z (178.45405073707363 -18.149777413817134 0)
Other,Grassland,Sand,Taraivini,2026-09-09,Point on the playground near the coastline,3.0,POINT Z (178.45448920205962 -18.149858253856948 0)
Sites of rubbish washed ashore,Bareland,Sand,Taraivini,2026-09-09,Point along the Coastline along lower campus,,POINT Z (178.45458787400318 -18.150158109043335 0)
Other,Settlement,Rubble,Taraivini,2026-09-09,Point is right beside FZ4,5.0,POINT Z (178.45425115217495 -18.150887685658184 0)
,,,Taneiti Tekena ,2026-09-09,,,POINT Z (178.4522722678821 -18.148644826063382 0)
,Grassland,,,,,3.0,POINT Z (178.45414072773937 -18.15040779427142 0)
,Grassland,,,,,3.0,POINT Z (178.45415316666666 -18.15023225 49.4)
,Grassland,,,,,3.0,POINT Z (178.45389819999997 -18.150438783333332 53.9)
,Forest,,,,,2.0,POINT Z (178.4539062417017 -18.149415534666023 0)
,Forest,,,,,2.0,POINT Z (178.45384128256285 -18.14963682603456 0)
,Water,Deeps,Taneiti Tekena ,2026-09-09,,6.0,POINT Z (178.4533698551041 -18.152495386857744 0)
,,,,,,,POINT Z (178.45396617003976 -18.150772992735952 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45396617003976 -18.150772992735952 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45389788801 -18.15070951181317 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.453845039282 -18.150744952678814 0)
,Forest,,Taneiti,2026-09-09,,2.0,POINT Z (178.45303267684073 -18.150194820050523 0)
,Forest,,Taneiti,2026-09-09,,2.0,POINT Z (178.45308844795517 -18.150355811562132 0)
,Forest,,Taneiti,2026-09-09,,2.0,POINT Z (178.4530402319632 -18.150082979803038 0)
,Grassland,,Taneiti,2026-09-09,,3.0,POINT Z (178.4519770332265 -18.14931626449946 0)
,Grassland,,Taneiti,2026-09-09,,3.0,POINT Z (178.4520652417216 -18.149405396751767 0)
,Grassland,,Taneiti ,2026-09-09,,3.0,POINT Z (178.4520405829208 -18.14922770451475 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45274128360157 -18.150462784771697 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45229857755544 -18.14925290180306 0)
,Forest,,Taneiti,2026-09-09,,2.0,POINT Z (178.45258500859575 -18.149994553219685 0)
,Forest,,Taneiti,2026-09-09,,2.0,POINT Z (178.45265812288557 -18.149710272930367 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45337561037047 -18.14992324601321 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45339297834204 -18.150222359337736 0)
,Settlement,,Taneiti,2026-09-09,,5.0,POINT Z (178.45350272712716 -18.149637602537815 0)
,Grassland,,Taneiti,2026-09-09,,3.0,POINT Z (178.45425128009154 -18.149995288258204 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45298221999994 -18.14969487 69.97412109375)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45379931999997 -18.14998044 66.50030517578125)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45389115 -18.14992886 63.98846435546875)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45394246999996 -18.14975851 62.67230224609375)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45394998 -18.14984358 65.2901611328125)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45407811999996 -18.15000309 64.62139892578125)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45418084 -18.15006562 65.8870849609375)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.4542809 -18.14993142 64.15814208984375)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45439545999997 -18.14990451 64.20703125)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.4541115180997 -18.150187930853683 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.4541115180997 -18.150187930853683 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45413208032954 -18.150230361261897 0)
,,,Marisela,2026-09-09,,,POINT Z (178.45408952012232 -18.150052309337614 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.45400987793855 -18.149383214741935 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.45372563742038 -18.14981624353998 0)
,,Sand,Marisela,2026-09-09,,,POINT Z (178.45458670539185 -18.150149108786174 0)
,,Sand,Marisela,2026-09-09,,,POINT Z (178.45455233265275 -18.150159996790837 0)
,,Sand,Marisela,2026-09-09,,,POINT Z (178.45450511232332 -18.150173674968325 0)
,,Sand,Marisela,2026-09-09,,,POINT Z (178.454463034071 -18.150195230673493 0)
,,Rock,Marisela,2026-09-09,,,POINT Z (178.45420977090774 -18.150354531357443 0)
,,Rock,Marisela,2026-09-09,,,POINT Z (178.45422639984392 -18.150334641263946 0)
,,Rock,Marisela,2026-09-09,,,POINT Z (178.45418930824425 -18.150375357074115 0)
,,Deeps,Marisela,2026-09-09,,,POINT Z (178.45549401620772 -18.15188145580525 0)
,,Deeps,Marisela,2026-09-09,,,POINT Z (178.4553908176625 -18.152058266173206 0)
,,Rock,Marisela,2026-09-09,,,POINT Z (178.455240122975 -18.152364054501685 0)
,,Deeps,Marisela,2026-09-09,,,POINT Z (178.45619301839278 -18.15177608001327 0)
,,Deeps,Marisela,2026-09-09,,,POINT Z (178.45517513234236 -18.153005976776722 0)
,,Sediment,Marisela,2026-09-09,,,POINT Z (178.4541407500151 -18.150319341267704 0)
,,,Marisela,2026-09-09,,,POINT Z (178.45400307152082 -18.150487984394616 0)
,,Sediment,Marisela,2026-09-09,,,POINT Z (178.45398991186764 -18.150522706098837 0)
,,Sediment,Marisela,2026-09-09,,,POINT Z (178.4537204108993 -18.150357631014234 0)
,,Sediment,Marisela,2026-09-09,,,POINT Z (178.4537204108993 -18.150357631014234 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.4536794528004 -18.150027236725368 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.4536264423279 -18.149905406150722 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.45344635322752 -18.150378858421533 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.4531072469282 -18.150167019922048 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.4528061636333 -18.149894642031658 0)
,Forest,,Marisela,2026-09-09,,2.0,POINT Z (178.4529405584078 -18.150323284261844 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45296088402185 -18.14930533831117 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45296832798385 -18.14925340367048 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.45298750329002 -18.14918801619201 0)
,Grassland,,Marisela,2026-09-09,,3.0,POINT Z (178.4528687792223 -18.149295746414683 0)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45419934527183 -18.15084605612218 0)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.4542063121048 -18.150956004242214 5.147151121869683)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45405508543547 -18.15088595571349 4.648264490999281)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45394084397722 -18.150855776475773 3.448206214234233)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.4538744560542 -18.15070449479535 3.461482086218894)
,Forest,,Riya,2026-09-09,,2.0,POINT Z (178.45371814201366 -18.1507554892441 3.289647527970374)
,Forest,,Riya,2026-09-09,,2.0,POINT Z (178.45359812647223 -18.150683233602706 4.4441530238837)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45348824896936 -18.15077168848581 3.275634818710387)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45330638662082 -18.150685741718725 3.963293980807066)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45314438459675 -18.150669779570528 4.529315203428268)
,Settlement,,Riya,2026-09-09,,5.0,POINT Z (178.45297433073765 -18.150641876036314 5.587128089740872)
,Forest,,Riya,2026-09-09,,2.0,POINT Z (178.45292814665427 -18.150723644351462 4.750625615939498)
